Gmt time,Open,High,Low,Close,Volume
04.01.2021 00:00:00.000,16.5,16.7,16.4,16.4,0.0
05.01.2021 00:00:00.000,16.5,16.5,16.15,16.2,0.0
06.01.2021 00:00:00.000,16.2,16.3,15.55,15.6,0.0
07.01.2021 00:00:00.000,15.7,15.85,15.55,15.65,0.0
08.01.2021 00:00:00.000,15.8,15.8,15.55,15.55,0.0
11.01.2021 00:00:00.000,15.7,15.8,15.55,15.65,0.0
12.01.2021 00:00:00.000,15.8,15.85,15.4,15.5,0.0
13.01.2021 00:00:00.000,15.55,15.7,15.5,15.6,0.0
14.01.2021 00:00:00.000,15.65,15.65,15.45,15.5,0.0
15.01.2021 00:00:00.000,15.5,15.55,14.75,14.8,0.0
18.01.2021 00:00:00.000,14.8,14.85,14.45,14.85,0.0
19.01.2021 00:00:00.000,14.85,15.15,14.85,14.9,0.0
20.01.2021 00:00:00.000,14.9,14.9,14.25,14.4,0.0
21.01.2021 00:00:00.000,14.45,14.6,14.15,14.3,0.0
22.01.2021 00:00:00.000,14.3,14.45,14.15,14.3,0.0
25.01.2021 00:00:00.000,14.3,14.6,14.25,14.5,0.0
26.01.2021 00:00:00.000,14.55,14.6,14.3,14.3,0.0
27.01.2021 00:00:00.000,14.35,14.45,14.25,14.35,0.0
28.01.2021 00:00:00.000,14.3,14.4,14.05,14.15,0.0
29.01.2021 00:00:00.000,14.15,14.3,14.0,14.05,0.0
01.02.2021 00:00:00.000,14.15,14.15,13.9,14.0,0.0
02.02.2021 00:00:00.000,14.1,14.35,14.1,14.2,0.0
03.02.2021 00:00:00.000,14.3,14.4,14.2,14.3,0.0
04.02.2021 00:00:00.000,14.35,14.35,14.2,14.3,0.0
05.02.2021 00:00:00.000,14.4,14.4,14.1,14.1,0.0
17.02.2021 00:00:00.000,14.3,14.55,14.2,14.5,0.0
18.02.2021 00:00:00.000,14.55,15.1,14.4,14.95,0.0
19.02.2021 00:00:00.000,15.1,15.25,15.0,15.2,0.0
22.02.2021 00:00:00.000,15.3,15.4,15.15,15.2,0.0
23.02.2021 00:00:00.000,15.25,15.45,15.2,15.45,0.0
24.02.2021 00:00:00.000,15.55,15.65,15.4,15.55,0.0
25.02.2021 00:00:00.000,15.6,15.75,15.5,15.55,0.0
26.02.2021 00:00:00.000,15.4,15.5,15.25,15.4,0.0
02.03.2021 00:00:00.000,15.55,15.75,15.5,15.6,0.0
03.03.2021 00:00:00.000,15.7,15.95,15.6,15.95,0.0
04.03.2021 00:00:00.000,16.1,16.3,15.95,16.25,0.0
05.03.2021 00:00:00.000,15.1,15.4,14.95,15.15,0.0
08.03.2021 00:00:00.000,15.2,15.3,14.95,15.1,0.0
09.03.2021 00:00:00.000,15.15,15.25,15.1,15.2,0.0
10.03.2021 00:00:00.000,15.3,15.55,15.3,15.4,0.0
11.03.2021 00:00:00.000,15.5,15.55,15.3,15.3,0.0
12.03.2021 00:00:00.000,15.35,15.55,15.3,15.5,0.0
15.03.2021 00:00:00.000,15.55,15.55,15.45,15.5,0.0
16.03.2021 00:00:00.000,15.5,15.5,15.4,15.5,0.0
17.03.2021 00:00:00.000,15.4,15.5,15.35,15.4,0.0
18.03.2021 00:00:00.000,15.45,15.5,15.4,15.4,0.0
19.03.2021 00:00:00.000,15.4,15.5,15.35,15.45,0.0
22.03.2021 00:00:00.000,15.5,15.55,15.4,15.5,0.0
23.03.2021 00:00:00.000,15.55,15.65,15.45,15.5,0.0
