Gmt time,Open,High,Low,Close,Volume
01.01.2019 00:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 04:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 08:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 12:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 16:00:00.000,1.14627,1.14627,1.14627,1.14627,0
01.01.2019 20:00:00.000,1.14598,1.14676,1.14566,1.14612,11818.8999
02.01.2019 00:00:00.000,1.14612,1.14626,1.14426,1.14457,39238.66989999999
02.01.2019 04:00:00.000,1.14456,1.14967,1.14426,1.14766,55879.0698
02.01.2019 08:00:00.000,1.14744,1.14780,1.14221,1.14336,108940.58779999998
02.01.2019 12:00:00.000,1.14336,1.14340,1.13419,1.13535,122870.58020000001
02.01.2019 16:00:00.000,1.13535,1.13621,1.13250,1.13434,76982.61920000002
02.01.2019 20:00:00.000,1.13436,1.13541,1.13092,1.13121,51533.1197
03.01.2019 00:00:00.000,1.13122,1.13715,1.13099,1.13648,63967.8203
03.01.2019 04:00:00.000,1.13648,1.13768,1.13548,1.13696,64770.860400000005
03.01.2019 08:00:00.000,1.13696,1.13839,1.13403,1.13414,96199.4102
03.01.2019 12:00:00.000,1.13414,1.14092,1.13374,1.13927,120867.14059999998
03.01.2019 16:00:00.000,1.13926,1.14110,1.13828,1.13912,106031.8612
03.01.2019 20:00:00.000,1.13914,1.14013,1.13865,1.13899,42677.1103
04.01.2019 00:00:00.000,1.13901,1.14118,1.13881,1.13978,51203.8809
04.01.2019 04:00:00.000,1.13980,1.14098,1.13832,1.14077,45755.7212
04.01.2019 08:00:00.000,1.14077,1.14189,1.13949,1.14114,77510.1289
04.01.2019 12:00:00.000,1.14115,1.14139,1.13456,1.14104,127171.166
04.01.2019 16:00:00.000,1.14103,1.14177,1.13933,1.14000,80733.7217
04.01.2019 20:00:00.000,1.14001,1.14042,1.13943,1.13943,21379.769500000002
05.01.2019 00:00:00.000,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 04:00:00.000,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 08:00:00.000,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 12:00:00.000,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 16:00:00.000,1.13943,1.13943,1.13943,1.13943,0
05.01.2019 20:00:00.000,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 00:00:00.000,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 04:00:00.000,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 08:00:00.000,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 12:00:00.000,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 16:00:00.000,1.13943,1.13943,1.13943,1.13943,0
06.01.2019 20:00:00.000,1.13955,1.14129,1.13954,1.14102,12460.9497
07.01.2019 00:00:00.000,1.14102,1.14255,1.14046,1.14225,38726.0806
07.01.2019 04:00:00.000,1.14225,1.14389,1.14100,1.14362,50023.95020000001
07.01.2019 08:00:00.000,1.14364,1.14479,1.14280,1.14404,71661.459
07.01.2019 12:00:00.000,1.14405,1.14727,1.14367,1.14635,102256.18159999998
07.01.2019 16:00:00.000,1.14634,1.14826,1.14585,1.14794,72479.44930000001
07.01.2019 20:00:00.000,1.14797,1.14806,1.14695,1.14789,27671.5102
08.01.2019 00:00:00.000,1.14790,1.14844,1.14351,1.14385,52011.4004
08.01.2019 04:00:00.000,1.14385,1.14555,1.14321,1.14438,50177.6894
08.01.2019 08:00:00.000,1.14439,1.14692,1.14336,1.14654,74555.088
08.01.2019 12:00:00.000,1.14654,1.14677,1.14222,1.14416,109920.4101
08.01.2019 16:00:00.000,1.14415,1.14588,1.14364,1.14422,63007.75
08.01.2019 20:00:00.000,1.14420,1.14579,1.14359,1.14572,23355.970400000002
09.01.2019 00:00:00.000,1.14573,1.14660,1.14484,1.14543,39927.3603
09.01.2019 04:00:00.000,1.14541,1.14784,1.14520,1.14656,40373.7099
09.01.2019 08:00:00.000,1.14657,1.14759,1.14389,1.14561,86194.8222
09.01.2019 12:00:00.000,1.14560,1.15405,1.14460,1.15102,147287.4374
09.01.2019 16:00:00.000,1.15103,1.15578,1.15092,1.15431,110776.1797
09.01.2019 20:00:00.000,1.15430,1.15550,1.15386,1.15541,39925.329600000005
10.01.2019 00:00:00.000,1.15541,1.15697,1.15433,1.15691,51475.88
10.01.2019 04:00:00.000,1.15692,1.15692,1.15343,1.15410,53064.96
10.01.2019 08:00:00.000,1.15409,1.15578,1.15176,1.15292,84839.16020000001
10.01.2019 12:00:00.000,1.15292,1.15451,1.15148,1.15225,109485.3106
10.01.2019 16:00:00.000,1.15227,1.15233,1.14844,1.14997,176220.8359
10.01.2019 20:00:00.000,1.14997,1.15082,1.14951,1.15081,26557.0601
