Gmt time,Open,High,Low,Close,Volume
04.01.2021 00:00:00.000,75.0,75.2,74.2,74.5,0.0
05.01.2021 00:00:00.000,74.3,74.3,73.0,73.6,0.0
06.01.2021 00:00:00.000,73.6,73.7,72.3,72.4,0.0
07.01.2021 00:00:00.000,72.4,72.6,71.6,72.1,0.0
08.01.2021 00:00:00.000,72.1,72.1,71.2,71.4,0.0
11.01.2021 00:00:00.000,71.4,71.4,71.1,71.3,0.0
12.01.2021 00:00:00.000,71.2,71.3,70.6,70.8,0.0
13.01.2021 00:00:00.000,70.6,72.4,70.5,71.9,0.0
14.01.2021 00:00:00.000,72.0,73.5,71.9,73.1,0.0
15.01.2021 00:00:00.000,73.1,73.1,72.2,72.2,0.0
18.01.2021 00:00:00.000,71.9,72.1,71.1,72.0,0.0
19.01.2021 00:00:00.000,72.0,72.8,71.6,72.1,0.0
20.01.2021 00:00:00.000,72.0,72.0,70.7,70.9,0.0
21.01.2021 00:00:00.000,70.9,71.6,70.5,70.7,0.0
22.01.2021 00:00:00.000,70.7,70.9,70.3,70.5,0.0
25.01.2021 00:00:00.000,69.9,70.9,69.5,70.8,0.0
26.01.2021 00:00:00.000,71.0,71.0,70.1,70.3,0.0
27.01.2021 00:00:00.000,70.4,71.5,70.4,71.2,0.0
28.01.2021 00:00:00.000,70.6,72.4,70.6,71.4,0.0
29.01.2021 00:00:00.000,71.6,72.5,71.5,71.5,0.0
01.02.2021 00:00:00.000,71.0,71.4,70.0,71.1,0.0
02.02.2021 00:00:00.000,71.1,71.7,71.1,71.5,0.0
03.02.2021 00:00:00.000,71.8,72.3,71.6,71.6,0.0
04.02.2021 00:00:00.000,72.0,72.0,71.4,71.8,0.0
05.02.2021 00:00:00.000,71.8,77.7,71.8,75.2,0.0
17.02.2021 00:00:00.000,77.5,79.0,76.7,77.4,0.0
18.02.2021 00:00:00.000,77.7,80.0,76.9,80.0,0.0
19.02.2021 00:00:00.000,80.0,80.3,78.8,79.8,0.0
22.02.2021 00:00:00.000,81.3,87.7,81.2,87.7,0.0
23.02.2021 00:00:00.000,91.0,94.5,89.0,90.5,0.0
24.02.2021 00:00:00.000,90.5,97.2,90.5,94.2,0.0
25.02.2021 00:00:00.000,95.0,96.5,91.0,95.0,0.0
26.02.2021 00:00:00.000,94.8,96.0,92.9,95.6,0.0
02.03.2021 00:00:00.000,95.5,95.6,90.0,90.1,0.0
03.03.2021 00:00:00.000,90.5,94.0,88.0,92.4,0.0
04.03.2021 00:00:00.000,90.9,92.8,90.9,91.1,0.0
05.03.2021 00:00:00.000,89.8,91.3,89.6,90.7,0.0
08.03.2021 00:00:00.000,95.6,95.6,91.2,91.3,0.0
09.03.2021 00:00:00.000,91.4,100.0,91.4,100.0,0.0
10.03.2021 00:00:00.000,105.0,106.0,96.1,98.0,0.0
11.03.2021 00:00:00.000,97.0,99.0,95.1,99.0,0.0
12.03.2021 00:00:00.000,98.2,99.5,97.0,98.2,0.0
15.03.2021 00:00:00.000,98.3,104.5,98.3,101.5,0.0
16.03.2021 00:00:00.000,101.0,103.0,99.9,100.5,0.0
17.03.2021 00:00:00.000,101.5,102.0,100.0,101.0,0.0
18.03.2021 00:00:00.000,103.0,105.5,100.5,100.5,0.0
19.03.2021 00:00:00.000,101.5,101.5,99.0,100.0,0.0
22.03.2021 00:00:00.000,101.0,102.5,100.0,101.5,0.0
23.03.2021 00:00:00.000,101.0,101.5,97.5,98.0,0.0
24.03.2021 00:00:00.000,98.0,100.5,98.0,98.4,0.0
25.03.2021 00:00:00.000,98.4,99.5,97.3,98.6,0.0
26.03.2021 00:00:00.000,98.8,99.0,97.7,99.0,0.0
29.03.2021 00:00:00.000,99.2,99.2,97.0,97.1,0.0
30.03.2021 00:00:00.000,96.8,98.4,95.8,97.5,0.0
31.03.2021 00:00:00.000,97.0,97.1,94.0,94.0,0.0
01.04.2021 00:00:00.000,93.6,93.6,91.2,91.4,0.0
06.04.2021 00:00:00.000,91.1,92.0,88.8,92.0,0.0
07.04.2021 00:00:00.000,92.1,92.6,90.5,90.8,0.0
08.04.2021 00:00:00.000,90.8,92.0,90.2,92.0,0.0
09.04.2021 00:00:00.000,91.1,91.6,90.5,90.6,0.0
12.04.2021 00:00:00.000,90.6,91.2,89.6,90.6,0.0
13.04.2021 00:00:00.000,90.7,92.5,90.4,90.7,0.0
14.04.2021 00:00:00.000,90.9,91.4,88.8,89.5,0.0
15.04.2021 00:00:00.000,89.5,90.4,89.5,90.1,0.0
16.04.2021 00:00:00.000,90.8,92.7,90.7,92.2,0.0
19.04.2021 00:00:00.000,92.5,92.5,90.4,90.8,0.0
20.04.2021 00:00:00.000,90.8,91.3,90.2,90.6,0.0
21.04.2021 00:00:00.000,90.0,90.5,89.9,90.1,0.0
22.04.2021 00:00:00.000,90.1,90.3,88.0,88.1,0.0
23.04.2021 00:00:00.000,87.2,89.5,87.1,88.6,0.0
26.04.2021 00:00:00.000,88.4,89.8,86.5,87.2,0.0
27.04.2021 00:00:00.000,87.2,88.0,86.5,87.0,0.0
28.04.2021 00:00:00.000,87.0,87.5,85.5,85.5,0.0
29.04.2021 00:00:00.000,85.5,85.5,84.0,84.2,0.0
03.05.2021 00:00:00.000,83.5,83.5,80.9,80.9,0.0
04.05.2021 00:00:00.000,80.9,82.3,78.0,79.0,0.0
05.05.2021 00:00:00.000,78.8,83.8,78.8,82.6,0.0
06.05.2021 00:00:00.000,83.1,83.8,81.2,81.3,0.0
07.05.2021 00:00:00.000,81.5,82.2,81.0,81.7,0.0
10.05.2021 00:00:00.000,81.7,84.2,81.7,83.8,0.0
11.05.2021 00:00:00.000,83.8,83.8,80.5,80.5,0.0
12.05.2021 00:00:00.000,79.8,79.8,73.1,78.0,0.0
13.05.2021 00:00:00.000,70.3,76.0,70.3,74.6,0.0
14.05.2021 00:00:00.000,74.6,76.1,73.5,73.8,0.0
17.05.2021 00:00:00.000,66.7,71.2,66.7,70.7,0.0
18.05.2021 00:00:00.000,70.7,75.5,69.1,75.3,0.0
19.05.2021 00:00:00.000,73.5,77.6,73.5,77.4,0.0
20.05.2021 00:00:00.000,77.3,77.3,74.7,77.1,0.0
21.05.2021 00:00:00.000,77.1,80.6,77.1,80.1,0.0
24.05.2021 00:00:00.000,79.2,81.4,78.5,80.4,0.0
25.05.2021 00:00:00.000,80.4,81.2,78.8,79.6,0.0
26.05.2021 00:00:00.000,79.6,82.2,78.5,81.8,0.0
27.05.2021 00:00:00.000,82.0,82.5,81.0,81.7,0.0
28.05.2021 00:00:00.000,82.4,84.9,81.8,83.7,0.0
