Gmt time,Open,High,Low,Close,Volume
04.01.2021 00:00:00.000,13.15,13.2,12.8,13.05,0.0
05.01.2021 00:00:00.000,13.05,13.05,12.8,12.95,0.0
06.01.2021 00:00:00.000,13.0,13.15,12.9,12.95,0.0
07.01.2021 00:00:00.000,12.95,13.05,12.7,12.7,0.0
08.01.2021 00:00:00.000,12.7,12.95,12.65,12.9,0.0
11.01.2021 00:00:00.000,12.9,12.9,12.7,12.75,0.0
12.01.2021 00:00:00.000,12.7,12.75,12.5,12.55,0.0
13.01.2021 00:00:00.000,12.55,12.8,12.5,12.6,0.0
14.01.2021 00:00:00.000,12.6,12.75,12.5,12.6,0.0
15.01.2021 00:00:00.000,12.6,12.6,12.0,12.2,0.0
18.01.2021 00:00:00.000,12.05,12.5,11.9,12.5,0.0
19.01.2021 00:00:00.000,12.4,12.55,12.25,12.4,0.0
20.01.2021 00:00:00.000,12.3,12.35,11.95,12.1,0.0
21.01.2021 00:00:00.000,12.1,12.25,12.0,12.05,0.0
22.01.2021 00:00:00.000,12.05,12.25,11.9,12.2,0.0
25.01.2021 00:00:00.000,12.15,12.25,12.0,12.1,0.0
26.01.2021 00:00:00.000,12.1,12.3,12.05,12.15,0.0
27.01.2021 00:00:00.000,12.5,12.95,12.4,12.5,0.0
28.01.2021 00:00:00.000,12.45,13.1,12.3,12.9,0.0
29.01.2021 00:00:00.000,13.0,13.1,12.55,12.55,0.0
01.02.2021 00:00:00.000,12.55,12.8,12.4,12.8,0.0
02.02.2021 00:00:00.000,12.75,12.85,12.65,12.65,0.0
03.02.2021 00:00:00.000,12.75,12.8,12.55,12.6,0.0
04.02.2021 00:00:00.000,12.65,12.8,12.55,12.75,0.0
05.02.2021 00:00:00.000,12.85,13.15,12.8,12.95,0.0
17.02.2021 00:00:00.000,13.25,13.3,12.9,13.15,0.0
18.02.2021 00:00:00.000,13.15,13.4,13.0,13.3,0.0
19.02.2021 00:00:00.000,13.25,13.45,13.15,13.4,0.0
22.02.2021 00:00:00.000,13.55,14.35,13.55,14.35,0.0
23.02.2021 00:00:00.000,14.6,15.65,14.55,14.8,0.0
24.02.2021 00:00:00.000,15.0,15.1,14.4,14.55,0.0
25.02.2021 00:00:00.000,14.95,16.0,14.7,15.85,0.0
26.02.2021 00:00:00.000,15.55,16.3,15.3,15.8,0.0
02.03.2021 00:00:00.000,16.1,16.45,15.15,15.15,0.0
03.03.2021 00:00:00.000,15.15,15.35,14.55,15.2,0.0
04.03.2021 00:00:00.000,15.2,15.55,14.9,15.1,0.0
05.03.2021 00:00:00.000,14.65,15.1,14.65,14.8,0.0
08.03.2021 00:00:00.000,15.0,15.1,14.55,14.65,0.0
09.03.2021 00:00:00.000,14.8,15.35,14.55,15.35,0.0
10.03.2021 00:00:00.000,15.2,15.3,14.9,14.95,0.0
11.03.2021 00:00:00.000,15.05,15.3,15.0,15.3,0.0
12.03.2021 00:00:00.000,15.3,15.7,15.15,15.45,0.0
15.03.2021 00:00:00.000,15.55,15.65,15.35,15.45,0.0
16.03.2021 00:00:00.000,15.65,16.1,15.55,15.8,0.0
17.03.2021 00:00:00.000,15.85,16.05,15.65,15.8,0.0
18.03.2021 00:00:00.000,15.9,16.0,15.6,15.7,0.0
19.03.2021 00:00:00.000,15.7,16.0,15.6,16.0,0.0
22.03.2021 00:00:00.000,16.0,16.6,15.95,16.2,0.0
23.03.2021 00:00:00.000,16.15,16.15,15.6,15.6,0.0
24.03.2021 00:00:00.000,15.4,15.6,15.2,15.3,0.0
25.03.2021 00:00:00.000,15.3,15.4,15.0,15.35,0.0
26.03.2021 00:00:00.000,15.45,15.8,15.4,15.8,0.0
29.03.2021 00:00:00.000,15.95,16.3,15.8,15.9,0.0
30.03.2021 00:00:00.000,16.0,16.0,15.4,15.5,0.0
31.03.2021 00:00:00.000,15.7,15.8,15.45,15.7,0.0
01.04.2021 00:00:00.000,15.8,15.9,15.6,15.75,0.0
06.04.2021 00:00:00.000,15.85,15.85,15.55,15.6,0.0
07.04.2021 00:00:00.000,15.6,15.75,15.6,15.65,0.0
08.04.2021 00:00:00.000,15.7,15.95,15.65,15.95,0.0
09.04.2021 00:00:00.000,16.2,16.3,15.7,15.8,0.0
12.04.2021 00:00:00.000,15.9,16.2,15.8,16.2,0.0
13.04.2021 00:00:00.000,16.4,17.8,16.15,17.45,0.0
14.04.2021 00:00:00.000,17.9,18.15,16.6,17.0,0.0
15.04.2021 00:00:00.000,17.1,17.35,16.85,17.05,0.0
16.04.2021 00:00:00.000,17.1,17.25,16.8,17.15,0.0
19.04.2021 00:00:00.000,17.25,18.4,17.2,18.05,0.0
20.04.2021 00:00:00.000,18.0,18.05,17.5,17.8,0.0
21.04.2021 00:00:00.000,17.7,19.2,17.6,19.05,0.0
22.04.2021 00:00:00.000,19.25,20.95,18.5,19.3,0.0
23.04.2021 00:00:00.000,20.0,20.3,18.6,18.7,0.0
26.04.2021 00:00:00.000,18.65,19.15,18.2,18.9,0.0
27.04.2021 00:00:00.000,19.0,19.75,18.95,19.3,0.0
28.04.2021 00:00:00.000,19.4,20.3,19.2,19.45,0.0
29.04.2021 00:00:00.000,19.75,19.8,18.8,18.9,0.0
03.05.2021 00:00:00.000,18.8,18.9,17.75,17.95,0.0
04.05.2021 00:00:00.000,18.1,18.8,16.25,17.15,0.0
05.05.2021 00:00:00.000,16.8,17.4,16.0,16.8,0.0
06.05.2021 00:00:00.000,17.0,17.3,15.95,16.45,0.0
07.05.2021 00:00:00.000,16.4,16.65,15.5,16.65,0.0
10.05.2021 00:00:00.000,17.0,17.6,16.7,17.5,0.0
11.05.2021 00:00:00.000,17.45,17.95,16.3,16.9,0.0
12.05.2021 00:00:00.000,16.5,16.7,15.25,15.25,0.0
13.05.2021 00:00:00.000,13.9,15.05,13.75,14.7,0.0
14.05.2021 00:00:00.000,14.9,15.3,14.1,14.6,0.0
17.05.2021 00:00:00.000,13.2,14.2,13.15,13.15,0.0
18.05.2021 00:00:00.000,13.5,14.45,13.2,14.45,0.0
19.05.2021 00:00:00.000,14.4,15.4,14.3,15.3,0.0
20.05.2021 00:00:00.000,14.85,15.45,14.7,14.85,0.0
21.05.2021 00:00:00.000,15.15,15.45,14.85,15.2,0.0
24.05.2021 00:00:00.000,14.8,15.6,14.7,15.25,0.0
25.05.2021 00:00:00.000,15.45,15.6,15.0,15.2,0.0
26.05.2021 00:00:00.000,15.3,15.6,15.05,15.6,0.0
27.05.2021 00:00:00.000,15.7,17.15,15.5,17.15,0.0
28.05.2021 00:00:00.000,17.5,18.15,17.2,17.4,0.0
