High,Open,Low,Close,ts,Volume
21.8,21.8,21.75,21.75,2021-01-04 09:01:00,17
21.7,21.7,21.7,21.7,2021-01-04 09:13:00,7
21.65,21.65,21.65,21.65,2021-01-04 09:17:00,11
21.65,21.65,21.65,21.65,2021-01-04 09:21:00,15
21.7,21.7,21.7,21.7,2021-01-04 09:28:00,5
21.65,21.65,21.65,21.65,2021-01-04 09:49:00,40
21.7,21.7,21.7,21.7,2021-01-04 09:52:00,2
21.7,21.7,21.7,21.7,2021-01-04 09:55:00,1
21.7,21.7,21.7,21.7,2021-01-04 10:01:00,3
21.7,21.7,21.7,21.7,2021-01-04 10:02:00,3
21.75,21.75,21.75,21.75,2021-01-04 10:20:00,4
21.75,21.75,21.75,21.75,2021-01-04 10:22:00,1
21.75,21.75,21.75,21.75,2021-01-04 10:28:00,2
21.75,21.75,21.75,21.75,2021-01-04 10:30:00,1
21.8,21.8,21.8,21.8,2021-01-04 10:34:00,19
21.8,21.8,21.8,21.8,2021-01-04 10:36:00,4
21.8,21.8,21.8,21.8,2021-01-04 10:42:00,2
21.8,21.8,21.8,21.8,2021-01-04 10:44:00,2
21.75,21.75,21.75,21.75,2021-01-04 10:52:00,2
21.85,21.85,21.85,21.85,2021-01-04 10:56:00,1
21.85,21.85,21.85,21.85,2021-01-04 10:58:00,2
21.8,21.8,21.8,21.8,2021-01-04 11:00:00,4
21.8,21.8,21.8,21.8,2021-01-04 11:01:00,1
21.85,21.85,21.85,21.85,2021-01-04 11:03:00,1
21.85,21.85,21.85,21.85,2021-01-04 11:07:00,4
21.8,21.8,21.8,21.8,2021-01-04 11:38:00,7
21.8,21.8,21.8,21.8,2021-01-04 11:55:00,5
21.8,21.8,21.8,21.8,2021-01-04 12:04:00,1
21.75,21.75,21.75,21.75,2021-01-04 12:14:00,1
21.7,21.7,21.7,21.7,2021-01-04 12:22:00,6
21.75,21.75,21.75,21.75,2021-01-04 12:24:00,1
21.75,21.75,21.75,21.75,2021-01-04 12:26:00,2
21.75,21.75,21.75,21.75,2021-01-04 12:42:00,1
21.75,21.75,21.75,21.75,2021-01-04 12:44:00,1
21.7,21.7,21.7,21.7,2021-01-04 12:45:00,1
21.7,21.7,21.7,21.7,2021-01-04 12:47:00,2
21.7,21.7,21.7,21.7,2021-01-04 12:51:00,1
21.7,21.7,21.7,21.7,2021-01-04 12:55:00,1
21.75,21.75,21.75,21.75,2021-01-04 12:58:00,1
21.75,21.75,21.75,21.75,2021-01-04 13:00:00,1
21.75,21.75,21.75,21.75,2021-01-04 13:01:00,5
21.75,21.75,21.75,21.75,2021-01-04 13:02:00,1
21.75,21.75,21.75,21.75,2021-01-04 13:04:00,1
21.75,21.75,21.75,21.75,2021-01-04 13:05:00,2
21.7,21.7,21.7,21.7,2021-01-04 13:10:00,1
21.7,21.7,21.7,21.7,2021-01-04 13:13:00,1
21.75,21.75,21.7,21.7,2021-01-04 13:16:00,7
21.75,21.75,21.75,21.75,2021-01-04 13:23:00,1
21.7,21.7,21.7,21.7,2021-01-04 13:30:00,5
21.7,21.7,21.7,21.7,2021-01-05 09:01:00,1
21.65,21.65,21.65,21.65,2021-01-05 09:06:00,9
21.65,21.65,21.65,21.65,2021-01-05 09:07:00,1
21.65,21.65,21.65,21.65,2021-01-05 09:14:00,5
21.65,21.65,21.65,21.65,2021-01-05 09:18:00,1
21.65,21.65,21.6,21.6,2021-01-05 09:19:00,18
21.6,21.6,21.6,21.6,2021-01-05 09:24:00,1
21.65,21.65,21.65,21.65,2021-01-05 09:28:00,6
21.65,21.65,21.6,21.6,2021-01-05 09:36:00,13
21.6,21.6,21.55,21.55,2021-01-05 09:37:00,50
21.55,21.55,21.5,21.5,2021-01-05 09:39:00,18
21.5,21.5,21.5,21.5,2021-01-05 09:40:00,1
21.55,21.55,21.55,21.55,2021-01-05 09:47:00,1
21.55,21.55,21.55,21.55,2021-01-05 09:50:00,1
21.55,21.55,21.55,21.55,2021-01-05 09:51:00,1
21.55,21.55,21.55,21.55,2021-01-05 09:52:00,4
21.55,21.55,21.55,21.55,2021-01-05 09:54:00,7
21.5,21.5,21.45,21.45,2021-01-05 09:58:00,61
21.45,21.45,21.35,21.35,2021-01-05 09:59:00,6
21.35,21.35,21.3,21.35,2021-01-05 10:00:00,28
21.4,21.4,21.4,21.4,2021-01-05 10:01:00,1
21.45,21.45,21.45,21.45,2021-01-05 10:06:00,4
21.4,21.4,21.35,21.35,2021-01-05 10:11:00,28
21.3,21.3,21.3,21.3,2021-01-05 10:12:00,2
21.35,21.35,21.35,21.35,2021-01-05 10:17:00,3
21.45,21.45,21.4,21.4,2021-01-05 10:21:00,13
21.45,21.45,21.45,21.45,2021-01-05 10:34:00,2
21.45,21.45,21.45,21.45,2021-01-05 10:37:00,19
21.45,21.45,21.45,21.45,2021-01-05 10:48:00,10
21.45,21.45,21.45,21.45,2021-01-05 10:56:00,1
21.5,21.5,21.5,21.5,2021-01-05 11:03:00,3
21.45,21.45,21.45,21.45,2021-01-05 11:06:00,2
21.5,21.5,21.5,21.5,2021-01-05 11:09:00,5
21.5,21.5,21.5,21.5,2021-01-05 11:12:00,2
21.5,21.5,21.45,21.45,2021-01-05 11:14:00,25
21.45,21.45,21.45,21.45,2021-01-05 11:17:00,1
21.45,21.45,21.45,21.45,2021-01-05 11:19:00,2
21.5,21.5,21.5,21.5,2021-01-05 11:25:00,1
21.5,21.5,21.5,21.5,2021-01-05 11:31:00,3
21.55,21.55,21.55,21.55,2021-01-05 11:33:00,1
21.55,21.55,21.55,21.55,2021-01-05 11:43:00,1
21.55,21.55,21.55,21.55,2021-01-05 11:53:00,2
21.55,21.55,21.55,21.55,2021-01-05 11:54:00,1
21.55,21.55,21.55,21.55,2021-01-05 11:55:00,5
21.5,21.5,21.5,21.5,2021-01-05 12:00:00,10
21.45,21.45,21.45,21.45,2021-01-05 12:02:00,12
