Gmt time,Open,High,Low,Close,Volume
04.01.2021 00:00:00.000,88.5,91.5,87.7,90.7,0.0
05.01.2021 00:00:00.000,90.2,94.5,88.8,90.5,0.0
06.01.2021 00:00:00.000,93.5,95.0,89.2,91.5,0.0
07.01.2021 00:00:00.000,93.0,94.0,91.6,92.8,0.0
08.01.2021 00:00:00.000,95.0,96.9,93.3,96.7,0.0
11.01.2021 00:00:00.000,92.8,93.5,90.9,91.2,0.0
12.01.2021 00:00:00.000,92.0,92.8,86.9,87.7,0.0
13.01.2021 00:00:00.000,88.1,89.7,86.5,88.7,0.0
14.01.2021 00:00:00.000,88.5,91.8,87.5,89.8,0.0
15.01.2021 00:00:00.000,90.3,90.8,85.6,86.2,0.0
18.01.2021 00:00:00.000,85.6,86.9,82.6,86.0,0.0
19.01.2021 00:00:00.000,86.7,87.3,84.7,86.8,0.0
20.01.2021 00:00:00.000,87.9,88.7,84.0,84.3,0.0
21.01.2021 00:00:00.000,84.5,87.5,84.5,85.8,0.0
22.01.2021 00:00:00.000,85.5,86.0,84.5,85.4,0.0
25.01.2021 00:00:00.000,85.0,86.4,82.8,85.1,0.0
26.01.2021 00:00:00.000,85.3,85.6,82.8,83.0,0.0
27.01.2021 00:00:00.000,83.5,84.3,81.6,82.5,0.0
28.01.2021 00:00:00.000,79.9,81.5,78.7,79.4,0.0
29.01.2021 00:00:00.000,80.5,83.0,79.6,79.9,0.0
01.02.2021 00:00:00.000,81.1,86.8,80.3,86.3,0.0
02.02.2021 00:00:00.000,87.5,89.3,85.6,86.9,0.0
03.02.2021 00:00:00.000,88.5,89.0,86.1,86.3,0.0
04.02.2021 00:00:00.000,85.3,86.8,85.0,86.6,0.0
05.02.2021 00:00:00.000,87.4,88.4,86.3,86.7,0.0
17.02.2021 00:00:00.000,91.0,91.5,89.1,89.9,0.0
18.02.2021 00:00:00.000,90.0,90.8,89.4,89.9,0.0
19.02.2021 00:00:00.000,92.0,95.0,90.9,93.0,0.0
22.02.2021 00:00:00.000,95.3,98.6,95.3,97.1,0.0
23.02.2021 00:00:00.000,95.8,99.3,94.7,98.4,0.0
24.02.2021 00:00:00.000,98.2,101.5,96.6,96.6,0.0
25.02.2021 00:00:00.000,100.0,102.0,98.2,98.5,0.0
26.02.2021 00:00:00.000,95.8,98.2,95.4,96.5,0.0
02.03.2021 00:00:00.000,99.5,101.0,95.0,95.5,0.0
03.03.2021 00:00:00.000,95.8,96.2,90.6,92.0,0.0
04.03.2021 00:00:00.000,92.9,95.0,91.6,91.8,0.0
05.03.2021 00:00:00.000,88.6,91.4,88.0,89.7,0.0
08.03.2021 00:00:00.000,92.3,92.4,88.6,88.6,0.0
09.03.2021 00:00:00.000,88.2,89.6,85.5,86.7,0.0
10.03.2021 00:00:00.000,88.0,90.4,87.5,87.6,0.0
11.03.2021 00:00:00.000,88.9,91.4,88.5,91.4,0.0
12.03.2021 00:00:00.000,93.1,94.4,91.6,93.5,0.0
15.03.2021 00:00:00.000,93.0,93.5,91.6,93.2,0.0
16.03.2021 00:00:00.000,93.7,94.7,93.1,93.4,0.0
17.03.2021 00:00:00.000,93.9,94.3,91.5,91.9,0.0
18.03.2021 00:00:00.000,93.2,96.0,93.0,95.5,0.0
19.03.2021 00:00:00.000,94.1,94.6,92.4,92.5,0.0
22.03.2021 00:00:00.000,92.7,92.8,90.2,90.9,0.0
23.03.2021 00:00:00.000,91.5,92.9,91.2,91.7,0.0
24.03.2021 00:00:00.000,90.4,91.4,90.0,90.0,0.0
25.03.2021 00:00:00.000,90.1,90.4,88.7,89.6,0.0
26.03.2021 00:00:00.000,90.2,92.3,90.1,91.9,0.0
29.03.2021 00:00:00.000,92.9,93.2,90.8,91.2,0.0
30.03.2021 00:00:00.000,91.2,92.4,90.6,92.2,0.0
31.03.2021 00:00:00.000,92.0,93.8,91.6,91.9,0.0
01.04.2021 00:00:00.000,96.4,100.5,96.2,100.5,0.0
06.04.2021 00:00:00.000,101.0,101.5,96.9,97.3,0.0
07.04.2021 00:00:00.000,98.1,98.8,96.2,97.1,0.0
08.04.2021 00:00:00.000,97.5,98.6,96.4,98.3,0.0
09.04.2021 00:00:00.000,98.7,105.0,97.0,102.5,0.0
12.04.2021 00:00:00.000,105.0,105.0,98.5,99.1,0.0
13.04.2021 00:00:00.000,100.5,104.0,99.0,100.0,0.0
14.04.2021 00:00:00.000,101.5,103.0,97.1,99.7,0.0
15.04.2021 00:00:00.000,100.5,100.5,98.2,99.0,0.0
16.04.2021 00:00:00.000,99.4,100.5,98.1,98.7,0.0
19.04.2021 00:00:00.000,99.8,101.5,99.1,99.4,0.0
20.04.2021 00:00:00.000,100.5,102.0,99.5,99.7,0.0
21.04.2021 00:00:00.000,100.5,101.5,98.0,98.3,0.0
22.04.2021 00:00:00.000,98.7,99.0,92.2,93.4,0.0
23.04.2021 00:00:00.000,93.7,94.8,92.5,94.4,0.0
26.04.2021 00:00:00.000,94.9,96.4,94.5,95.9,0.0
27.04.2021 00:00:00.000,96.2,96.3,93.4,94.0,0.0
28.04.2021 00:00:00.000,94.7,95.7,93.6,94.4,0.0
29.04.2021 00:00:00.000,94.0,94.6,91.6,91.6,0.0
03.05.2021 00:00:00.000,93.0,93.0,87.5,87.7,0.0
04.05.2021 00:00:00.000,88.5,89.3,81.6,85.3,0.0
05.05.2021 00:00:00.000,86.5,87.0,82.7,82.7,0.0
06.05.2021 00:00:00.000,83.7,86.2,82.3,82.9,0.0
07.05.2021 00:00:00.000,84.3,85.8,83.1,85.5,0.0
10.05.2021 00:00:00.000,85.7,85.7,82.0,82.1,0.0
11.05.2021 00:00:00.000,80.0,80.6,76.1,76.5,0.0
12.05.2021 00:00:00.000,76.0,77.0,68.9,73.4,0.0
13.05.2021 00:00:00.000,71.4,76.3,69.6,74.3,0.0
14.05.2021 00:00:00.000,75.8,76.6,72.2,73.0,0.0
17.05.2021 00:00:00.000,67.0,73.1,67.0,71.7,0.0
18.05.2021 00:00:00.000,73.0,77.5,72.8,76.8,0.0
19.05.2021 00:00:00.000,75.6,76.7,73.7,75.1,0.0
20.05.2021 00:00:00.000,74.3,76.5,74.2,75.2,0.0
21.05.2021 00:00:00.000,77.8,78.6,75.5,76.3,0.0
24.05.2021 00:00:00.000,75.0,77.4,74.4,76.6,0.0
25.05.2021 00:00:00.000,77.9,79.8,77.5,78.8,0.0
26.05.2021 00:00:00.000,79.7,80.2,77.1,77.8,0.0
27.05.2021 00:00:00.000,77.6,78.4,76.0,78.3,0.0
28.05.2021 00:00:00.000,79.3,82.5,78.9,80.6,0.0
