Gmt time,Open,High,Low,Close,Volume
04.01.2021 00:00:00.000,10.1,10.8,10.1,10.6,0.0
05.01.2021 00:00:00.000,10.4,10.55,10.3,10.35,0.0
06.01.2021 00:00:00.000,10.35,10.95,10.2,10.3,0.0
07.01.2021 00:00:00.000,10.45,10.45,10.2,10.2,0.0
08.01.2021 00:00:00.000,10.3,10.4,10.1,10.1,0.0
11.01.2021 00:00:00.000,10.35,10.5,10.2,10.2,0.0
12.01.2021 00:00:00.000,10.35,10.35,10.0,10.05,0.0
13.01.2021 00:00:00.000,10.45,10.7,10.15,10.25,0.0
14.01.2021 00:00:00.000,10.2,10.5,10.15,10.35,0.0
15.01.2021 00:00:00.000,10.4,10.4,10.1,10.1,0.0
18.01.2021 00:00:00.000,10.05,10.1,9.81,9.92,0.0
19.01.2021 00:00:00.000,10.0,10.1,9.95,9.95,0.0
20.01.2021 00:00:00.000,9.97,10.05,9.52,9.53,0.0
21.01.2021 00:00:00.000,9.54,9.79,9.49,9.54,0.0
22.01.2021 00:00:00.000,9.7,9.7,9.38,9.48,0.0
25.01.2021 00:00:00.000,9.58,9.68,9.47,9.67,0.0
26.01.2021 00:00:00.000,9.65,10.05,9.6,9.82,0.0
27.01.2021 00:00:00.000,9.82,10.05,9.82,9.86,0.0
28.01.2021 00:00:00.000,9.7,9.9,9.67,9.75,0.0
29.01.2021 00:00:00.000,9.76,9.85,9.5,9.52,0.0
01.02.2021 00:00:00.000,9.5,9.61,9.45,9.48,0.0
02.02.2021 00:00:00.000,9.51,9.64,9.51,9.58,0.0
03.02.2021 00:00:00.000,9.7,9.7,9.51,9.52,0.0
04.02.2021 00:00:00.000,9.54,9.59,9.49,9.5,0.0
05.02.2021 00:00:00.000,9.5,9.68,9.5,9.54,0.0
17.02.2021 00:00:00.000,9.61,9.61,9.49,9.53,0.0
18.02.2021 00:00:00.000,9.53,9.71,9.52,9.61,0.0
19.02.2021 00:00:00.000,9.68,9.68,9.54,9.6,0.0
22.02.2021 00:00:00.000,9.61,9.69,9.6,9.61,0.0
23.02.2021 00:00:00.000,9.6,9.77,9.58,9.75,0.0
24.02.2021 00:00:00.000,9.78,9.88,9.7,9.71,0.0
25.02.2021 00:00:00.000,9.85,9.86,9.73,9.79,0.0
26.02.2021 00:00:00.000,9.72,9.74,9.64,9.74,0.0
02.03.2021 00:00:00.000,9.77,9.8,9.47,9.47,0.0
03.03.2021 00:00:00.000,9.49,9.71,9.46,9.59,0.0
04.03.2021 00:00:00.000,9.92,10.25,9.85,9.87,0.0
05.03.2021 00:00:00.000,9.85,9.86,9.68,9.72,0.0
08.03.2021 00:00:00.000,9.8,9.83,9.62,9.63,0.0
09.03.2021 00:00:00.000,9.72,9.72,9.56,9.61,0.0
10.03.2021 00:00:00.000,9.64,9.68,9.59,9.59,0.0
11.03.2021 00:00:00.000,9.59,9.68,9.58,9.61,0.0
12.03.2021 00:00:00.000,9.76,9.76,9.6,9.62,0.0
15.03.2021 00:00:00.000,9.63,9.69,9.59,9.59,0.0
16.03.2021 00:00:00.000,9.6,9.63,9.55,9.56,0.0
17.03.2021 00:00:00.000,9.58,9.68,9.53,9.57,0.0
18.03.2021 00:00:00.000,9.6,9.67,9.56,9.58,0.0
19.03.2021 00:00:00.000,9.57,9.6,9.5,9.6,0.0
22.03.2021 00:00:00.000,9.58,9.6,9.51,9.59,0.0
23.03.2021 00:00:00.000,9.76,9.76,9.6,9.66,0.0
24.03.2021 00:00:00.000,9.63,9.69,9.57,9.58,0.0
25.03.2021 00:00:00.000,9.59,9.62,9.51,9.52,0.0
26.03.2021 00:00:00.000,9.52,9.56,9.51,9.54,0.0
29.03.2021 00:00:00.000,9.56,9.58,9.51,9.52,0.0
30.03.2021 00:00:00.000,9.53,9.55,9.5,9.54,0.0
31.03.2021 00:00:00.000,9.54,9.56,9.5,9.55,0.0
01.04.2021 00:00:00.000,9.58,9.7,9.56,9.59,0.0
06.04.2021 00:00:00.000,9.6,9.65,9.55,9.55,0.0
07.04.2021 00:00:00.000,9.55,9.59,9.53,9.55,0.0
08.04.2021 00:00:00.000,9.55,9.82,9.5,9.69,0.0
09.04.2021 00:00:00.000,9.72,9.73,9.59,9.59,0.0
12.04.2021 00:00:00.000,9.6,9.99,9.56,9.79,0.0
13.04.2021 00:00:00.000,9.81,9.86,9.63,9.64,0.0
14.04.2021 00:00:00.000,9.64,9.74,9.52,9.58,0.0
15.04.2021 00:00:00.000,9.64,9.72,9.59,9.65,0.0
16.04.2021 00:00:00.000,9.72,10.05,9.68,9.85,0.0
19.04.2021 00:00:00.000,10.0,10.1,9.95,10.05,0.0
20.04.2021 00:00:00.000,10.1,10.2,10.05,10.15,0.0
21.04.2021 00:00:00.000,10.2,10.5,10.15,10.35,0.0
22.04.2021 00:00:00.000,10.4,10.45,9.7,9.8,0.0
23.04.2021 00:00:00.000,9.9,10.1,9.9,9.93,0.0
26.04.2021 00:00:00.000,10.0,10.1,9.92,9.92,0.0
27.04.2021 00:00:00.000,10.05,10.2,9.92,10.0,0.0
28.04.2021 00:00:00.000,10.0,10.3,9.94,10.15,0.0
29.04.2021 00:00:00.000,10.2,10.25,9.98,10.05,0.0
03.05.2021 00:00:00.000,10.05,10.05,9.76,9.76,0.0
04.05.2021 00:00:00.000,9.9,9.93,9.33,9.56,0.0
05.05.2021 00:00:00.000,9.56,9.67,9.41,9.45,0.0
06.05.2021 00:00:00.000,9.5,9.59,9.42,9.44,0.0
07.05.2021 00:00:00.000,9.6,9.6,9.49,9.56,0.0
10.05.2021 00:00:00.000,9.56,9.73,9.52,9.55,0.0
11.05.2021 00:00:00.000,9.55,9.55,9.07,9.18,0.0
12.05.2021 00:00:00.000,9.17,9.17,8.27,8.38,0.0
13.05.2021 00:00:00.000,8.21,8.44,7.99,8.26,0.0
14.05.2021 00:00:00.000,8.29,8.6,8.2,8.3,0.0
17.05.2021 00:00:00.000,7.5,8.17,7.5,7.7,0.0
18.05.2021 00:00:00.000,7.83,8.38,7.82,8.34,0.0
19.05.2021 00:00:00.000,8.3,8.45,8.18,8.32,0.0
20.05.2021 00:00:00.000,8.34,8.41,8.21,8.21,0.0
21.05.2021 00:00:00.000,8.3,8.4,8.24,8.33,0.0
