Gmt time,Open,High,Low,Close,Volume
04.01.2021 00:00:00.000,38.8,41.6,37.95,40.75,0.0
05.01.2021 00:00:00.000,40.5,40.55,39.25,40.35,0.0
06.01.2021 00:00:00.000,40.1,40.8,36.6,38.55,0.0
07.01.2021 00:00:00.000,39.3,40.55,38.1,39.8,0.0
08.01.2021 00:00:00.000,39.45,43.7,39.15,40.55,0.0
11.01.2021 00:00:00.000,40.6,43.0,39.8,42.65,0.0
12.01.2021 00:00:00.000,45.0,46.55,40.7,42.85,0.0
13.01.2021 00:00:00.000,42.95,43.4,41.5,41.7,0.0
14.01.2021 00:00:00.000,42.9,45.8,42.2,43.5,0.0
15.01.2021 00:00:00.000,43.75,44.05,40.55,41.0,0.0
18.01.2021 00:00:00.000,40.45,40.9,38.8,39.0,0.0
19.01.2021 00:00:00.000,39.7,40.1,38.0,38.15,0.0
20.01.2021 00:00:00.000,38.0,38.5,36.25,36.5,0.0
21.01.2021 00:00:00.000,37.8,38.4,36.5,36.75,0.0
22.01.2021 00:00:00.000,36.05,37.55,35.6,37.45,0.0
25.01.2021 00:00:00.000,37.4,38.4,36.05,37.25,0.0
26.01.2021 00:00:00.000,36.9,37.7,35.8,36.05,0.0
27.01.2021 00:00:00.000,36.5,36.9,35.8,36.1,0.0
28.01.2021 00:00:00.000,35.55,37.3,35.3,35.8,0.0
29.01.2021 00:00:00.000,36.3,37.45,35.5,35.5,0.0
01.02.2021 00:00:00.000,35.5,35.85,34.1,35.45,0.0
02.02.2021 00:00:00.000,36.1,36.8,35.55,35.7,0.0
03.02.2021 00:00:00.000,36.0,36.7,35.75,36.0,0.0
04.02.2021 00:00:00.000,35.8,36.45,35.55,35.55,0.0
05.02.2021 00:00:00.000,35.85,36.0,35.35,35.6,0.0
17.02.2021 00:00:00.000,36.25,36.9,35.7,36.45,0.0
18.02.2021 00:00:00.000,36.5,38.4,36.25,38.2,0.0
19.02.2021 00:00:00.000,38.2,38.5,37.4,38.25,0.0
22.02.2021 00:00:00.000,38.25,38.45,37.55,37.75,0.0
23.02.2021 00:00:00.000,37.85,38.75,37.65,37.8,0.0
24.02.2021 00:00:00.000,38.0,38.2,36.85,37.1,0.0
25.02.2021 00:00:00.000,37.45,37.7,36.5,36.65,0.0
26.02.2021 00:00:00.000,36.45,37.25,35.6,37.0,0.0
02.03.2021 00:00:00.000,37.3,37.6,35.8,36.05,0.0
03.03.2021 00:00:00.000,35.95,37.3,35.0,37.15,0.0
04.03.2021 00:00:00.000,37.15,37.6,35.85,36.05,0.0
05.03.2021 00:00:00.000,35.6,36.15,35.05,35.15,0.0
08.03.2021 00:00:00.000,35.45,36.4,34.8,34.95,0.0
09.03.2021 00:00:00.000,35.0,35.35,32.75,33.1,0.0
10.03.2021 00:00:00.000,33.6,34.7,33.45,34.3,0.0
11.03.2021 00:00:00.000,34.5,36.0,34.5,35.95,0.0
12.03.2021 00:00:00.000,35.95,36.25,35.3,35.8,0.0
15.03.2021 00:00:00.000,35.55,36.2,35.25,35.7,0.0
16.03.2021 00:00:00.000,36.05,36.7,35.55,35.55,0.0
17.03.2021 00:00:00.000,36.0,36.65,35.7,36.6,0.0
18.03.2021 00:00:00.000,37.6,40.25,37.55,40.25,0.0
19.03.2021 00:00:00.000,40.4,41.7,39.1,39.6,0.0
22.03.2021 00:00:00.000,39.2,39.2,37.6,37.8,0.0
23.03.2021 00:00:00.000,38.2,38.25,36.0,36.15,0.0
24.03.2021 00:00:00.000,35.6,36.45,35.2,35.8,0.0
25.03.2021 00:00:00.000,35.85,36.4,35.5,35.65,0.0
26.03.2021 00:00:00.000,35.8,36.6,35.8,36.4,0.0
29.03.2021 00:00:00.000,36.5,37.9,36.5,37.5,0.0
30.03.2021 00:00:00.000,37.4,37.9,36.65,37.6,0.0
31.03.2021 00:00:00.000,37.9,38.25,37.6,37.85,0.0
01.04.2021 00:00:00.000,38.2,38.3,37.05,37.1,0.0
06.04.2021 00:00:00.000,37.1,37.8,36.95,37.45,0.0
07.04.2021 00:00:00.000,37.55,38.3,37.35,38.25,0.0
08.04.2021 00:00:00.000,38.3,41.0,37.8,40.3,0.0
09.04.2021 00:00:00.000,40.15,40.15,38.0,39.25,0.0
12.04.2021 00:00:00.000,39.4,39.75,38.4,38.4,0.0
13.04.2021 00:00:00.000,38.75,40.3,38.05,38.3,0.0
14.04.2021 00:00:00.000,39.0,39.5,36.7,38.15,0.0
15.04.2021 00:00:00.000,38.4,40.1,38.05,39.95,0.0
16.04.2021 00:00:00.000,40.75,40.75,39.5,39.55,0.0
19.04.2021 00:00:00.000,39.3,39.6,38.65,38.75,0.0
20.04.2021 00:00:00.000,38.75,40.25,38.55,39.6,0.0
21.04.2021 00:00:00.000,39.6,40.5,38.75,39.85,0.0
22.04.2021 00:00:00.000,40.5,41.85,38.95,40.1,0.0
23.04.2021 00:00:00.000,39.8,40.45,39.1,39.7,0.0
26.04.2021 00:00:00.000,40.3,41.2,39.5,40.25,0.0
27.04.2021 00:00:00.000,40.3,41.5,40.15,40.85,0.0
28.04.2021 00:00:00.000,41.0,41.7,40.2,40.25,0.0
29.04.2021 00:00:00.000,40.25,40.4,38.0,38.4,0.0
