Gmt time,Open,High,Low,Close,Volume
04.01.2021 00:00:00.000,31.4,32.35,31.35,32.2,0.0
05.01.2021 00:00:00.000,32.7,35.4,32.7,35.4,0.0
06.01.2021 00:00:00.000,38.9,38.9,36.35,38.9,0.0
07.01.2021 00:00:00.000,40.5,40.95,38.1,39.5,0.0
08.01.2021 00:00:00.000,39.3,39.45,37.8,38.5,0.0
11.01.2021 00:00:00.000,38.7,39.8,38.1,38.95,0.0
12.01.2021 00:00:00.000,39.15,39.6,36.4,37.5,0.0
13.01.2021 00:00:00.000,37.8,37.95,37.1,37.8,0.0
14.01.2021 00:00:00.000,38.0,39.3,37.3,38.35,0.0
15.01.2021 00:00:00.000,38.35,41.35,37.5,38.6,0.0
18.01.2021 00:00:00.000,38.8,39.25,36.7,38.5,0.0
19.01.2021 00:00:00.000,38.5,39.3,37.45,37.45,0.0
20.01.2021 00:00:00.000,37.45,37.85,35.65,35.75,0.0
21.01.2021 00:00:00.000,35.8,36.8,34.5,34.75,0.0
22.01.2021 00:00:00.000,35.0,35.65,34.3,35.15,0.0
25.01.2021 00:00:00.000,35.0,35.65,34.6,35.35,0.0
26.01.2021 00:00:00.000,35.15,35.9,34.5,34.65,0.0
27.01.2021 00:00:00.000,34.75,35.65,34.75,35.3,0.0
28.01.2021 00:00:00.000,34.35,36.5,34.25,36.0,0.0
29.01.2021 00:00:00.000,36.9,37.9,34.55,34.55,0.0
01.02.2021 00:00:00.000,34.3,34.35,33.05,33.5,0.0
02.02.2021 00:00:00.000,33.5,34.1,33.4,33.6,0.0
03.02.2021 00:00:00.000,33.5,34.1,32.9,32.95,0.0
04.02.2021 00:00:00.000,33.15,33.7,32.95,33.1,0.0
05.02.2021 00:00:00.000,33.6,33.6,32.7,32.7,0.0
17.02.2021 00:00:00.000,33.2,33.7,32.65,33.3,0.0
18.02.2021 00:00:00.000,33.85,34.35,33.6,34.15,0.0
19.02.2021 00:00:00.000,34.8,36.1,34.6,35.4,0.0
22.02.2021 00:00:00.000,35.7,35.75,35.0,35.5,0.0
23.02.2021 00:00:00.000,35.45,36.4,35.15,36.15,0.0
24.02.2021 00:00:00.000,36.15,36.35,35.0,35.1,0.0
25.02.2021 00:00:00.000,35.6,35.6,34.8,34.85,0.0
26.02.2021 00:00:00.000,34.1,35.2,34.0,35.1,0.0
02.03.2021 00:00:00.000,35.15,35.4,34.1,34.1,0.0
03.03.2021 00:00:00.000,34.3,34.6,33.6,34.4,0.0
04.03.2021 00:00:00.000,34.9,35.9,34.75,35.05,0.0
05.03.2021 00:00:00.000,35.05,35.85,34.8,35.45,0.0
08.03.2021 00:00:00.000,36.05,36.2,34.85,34.9,0.0
09.03.2021 00:00:00.000,35.35,36.1,35.25,35.4,0.0
10.03.2021 00:00:00.000,35.7,35.9,35.3,35.35,0.0
11.03.2021 00:00:00.000,35.45,35.85,35.35,35.75,0.0
12.03.2021 00:00:00.000,35.95,36.9,35.75,36.8,0.0
15.03.2021 00:00:00.000,37.5,37.85,37.1,37.55,0.0
16.03.2021 00:00:00.000,37.65,37.65,36.55,36.65,0.0
17.03.2021 00:00:00.000,36.7,36.8,36.0,36.1,0.0
18.03.2021 00:00:00.000,36.3,36.7,36.15,36.3,0.0
19.03.2021 00:00:00.000,36.1,37.3,36.0,36.15,0.0
22.03.2021 00:00:00.000,36.3,36.3,34.95,35.1,0.0
23.03.2021 00:00:00.000,35.7,36.0,35.1,35.25,0.0
24.03.2021 00:00:00.000,35.6,35.8,35.3,35.4,0.0
25.03.2021 00:00:00.000,36.0,36.8,35.4,35.6,0.0
26.03.2021 00:00:00.000,35.6,35.8,35.35,35.65,0.0
29.03.2021 00:00:00.000,36.25,36.75,36.15,36.55,0.0
30.03.2021 00:00:00.000,36.7,37.0,36.1,36.55,0.0
31.03.2021 00:00:00.000,36.7,37.45,36.35,37.35,0.0
01.04.2021 00:00:00.000,37.8,38.1,37.0,37.05,0.0
06.04.2021 00:00:00.000,37.15,37.45,36.5,36.55,0.0
07.04.2021 00:00:00.000,36.55,36.55,36.05,36.2,0.0
08.04.2021 00:00:00.000,36.15,36.75,36.1,36.4,0.0
09.04.2021 00:00:00.000,36.9,39.25,36.6,38.4,0.0
12.04.2021 00:00:00.000,38.4,38.9,37.4,37.5,0.0
13.04.2021 00:00:00.000,37.5,37.8,36.0,37.0,0.0
14.04.2021 00:00:00.000,37.0,37.15,34.8,35.8,0.0
15.04.2021 00:00:00.000,36.2,36.4,35.8,35.95,0.0
16.04.2021 00:00:00.000,36.05,36.25,35.85,36.05,0.0
19.04.2021 00:00:00.000,36.15,36.8,35.9,36.05,0.0
20.04.2021 00:00:00.000,36.6,36.7,36.2,36.3,0.0
21.04.2021 00:00:00.000,36.3,36.3,35.65,35.8,0.0
22.04.2021 00:00:00.000,35.75,35.8,33.85,34.0,0.0
23.04.2021 00:00:00.000,34.0,34.1,33.0,33.15,0.0
26.04.2021 00:00:00.000,33.45,33.75,33.1,33.65,0.0
27.04.2021 00:00:00.000,33.7,33.7,33.1,33.25,0.0
28.04.2021 00:00:00.000,33.35,33.6,33.2,33.5,0.0
29.04.2021 00:00:00.000,33.5,35.3,33.25,35.0,0.0
03.05.2021 00:00:00.000,34.8,35.8,34.1,34.4,0.0
04.05.2021 00:00:00.000,34.4,34.65,31.0,31.35,0.0
05.05.2021 00:00:00.000,31.05,31.7,29.7,30.1,0.0
06.05.2021 00:00:00.000,30.35,30.5,28.7,29.2,0.0
07.05.2021 00:00:00.000,29.5,30.5,29.2,30.4,0.0
10.05.2021 00:00:00.000,30.55,30.85,29.9,29.95,0.0
11.05.2021 00:00:00.000,29.65,29.65,27.0,27.95,0.0
12.05.2021 00:00:00.000,27.8,27.9,25.2,25.75,0.0
13.05.2021 00:00:00.000,24.2,27.3,24.1,26.6,0.0
14.05.2021 00:00:00.000,27.0,27.45,26.0,26.1,0.0
17.05.2021 00:00:00.000,23.65,25.95,23.65,24.0,0.0
18.05.2021 00:00:00.000,24.3,26.2,24.3,26.15,0.0
19.05.2021 00:00:00.000,26.15,26.8,25.6,26.35,0.0
20.05.2021 00:00:00.000,26.4,27.2,25.8,25.85,0.0
21.05.2021 00:00:00.000,26.5,26.95,26.1,26.5,0.0
24.05.2021 00:00:00.000,26.5,27.0,26.1,26.75,0.0
25.05.2021 00:00:00.000,27.25,27.8,27.15,27.25,0.0
26.05.2021 00:00:00.000,27.25,27.45,27.0,27.4,0.0
27.05.2021 00:00:00.000,27.4,27.5,27.1,27.4,0.0
28.05.2021 00:00:00.000,27.7,27.9,27.5,27.8,0.0
